"Country.Name","Program.Name","FY2000","FY2001","FY2002","FY2003","FY2004","FY2005","FY2006","FY2007","FY2008","FY2009"
"Afghanistan","Child Survival and Health",NA,NA,2586555,56501189,40215304,39817970,40856382,72527069,28397435,NA
"Afghanistan","Department of Defense Security Assistance",NA,NA,2964313,NA,45635526,151334908,230501318,214505892,495539084,552524990
"Afghanistan","Development Assistance",NA,4110478,8762080,54538965,180539337,193598227,212648440,173134034,150529862,3675202
"Afghanistan","Economic Support Fund/Security Support Assistance",NA,61144,31827014,341306822,1025522037,1157530168,1357750249,1266653993,1400237791,1418688520
"Afghanistan","Food For Education",NA,NA,NA,3957312,2610006,3254408,386891,NA,NA,NA
"Afghanistan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,63064912,1764252
"Afghanistan","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Migration and Refugee Assistance",13952743,7092713,79087813,55581916,14578094,8080058,12465950,15976916,13374516,18661134
"Afghanistan","Narcotics Control",NA,NA,75792086,NA,195331475,1567201,1515375,125857705,293269580,580004707
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",3755316,3424069,8421343,13316575,9575064,36684145,24028153,28098332,29497627,34743080
"Afghanistan","Other Active Grant Programs",2899030,2944904,9136850,11878130,11141806,12175789,9939898,17651136,9740539,11291005
"Afghanistan","Other Food Aid Programs",29581885,55038433,1838805,NA,9748593,5238928,18719709,NA,20977989,NA
"Afghanistan","Other State Assistance",NA,103945,862587,1436990,627870,1622801,1557659,2380522,2071309,5712137
"Afghanistan","Other USAID Assistance",NA,11055901,188692500,154041543,39419572,43876355,11944959,22824172,44886114,83398420
"Afghanistan","Other USDA Assistance",NA,NA,NA,73289,414922,480651,NA,NA,122522,NA
"Afghanistan","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title I",NA,NA,NA,6280584,NA,NA,8487793,13640872,NA,19028359
"Afghanistan","Title II",17496891,37076059,192610427,56697144,57852242,63684049,66164550,62659611,180855612,75724560
"Albania","Child Survival and Health",NA,NA,NA,NA,1149009,166905,887621,1788194,1378368,NA
"Albania","Department of Defense Security Assistance",NA,NA,NA,NA,17861311,7869974,10653725,4871265,487207,44865
"Albania","Development Assistance",NA,492821,NA,353537,778863,333810,NA,NA,NA,NA
"Albania","Economic Support Fund/Security Support Assistance",15021262,NA,NA,34179,5745,NA,NA,NA,NA,NA
"Albania","Food For Education",NA,6691233,2911818,3363896,NA,NA,NA,NA,NA,NA
"Albania","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,510507,19648
"Albania","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Migration and Refugee Assistance",3699267,1122973,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,14745009,1176466,16072343,12398
"Albania","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,4510047
"Albania","Nonproliferation, Anti-Terrorism, Demining and Related",NA,1600752,933566,2082335,2408322,5792716,1826257,1168054,8520009,2553537
"Albania","Other Active Grant Programs",4070514,582318,1102955,620576,919207,NA,790549,806789,455109,1951265
"Albania","Other Food Aid Programs",NA,2619587,NA,6270530,5727001,NA,NA,NA,NA,NA
"Albania","Other State Assistance",41864,96051,20532,28943,1577589,1402002,1311668,1673305,2183451,1993958
"Albania","Other USAID Assistance",56946145,37184675,41114493,35457103,29201125,26143737,21947967,20115326,13937176,19993238
"Albania","Peace Corps",NA,NA,NA,1352870,1724662,1459824,1516183,1702954,1669313,2367876
"Albania","Title I",NA,6228378,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Title II",7805549,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,75570
"Algeria","Economic Support Fund/Security Support Assistance",NA,NA,NA,669364,422835,NA,614341,NA,NA,NA
"Algeria","Migration and Refugee Assistance",250354,NA,NA,NA,NA,778890,1882832,2992196,1786773,2418256
"Algeria","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,11060,261978
"Algeria","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,536321,NA,861040,610347,342230
"Algeria","Other Active Grant Programs",1042317,247658,1321956,555643,704532,280266,149267,207415,1531307,980499
"Algeria","Other Food Aid Programs",NA,3143071,NA,1310928,1667471,NA,NA,NA,NA,NA
"Algeria","Other State Assistance",65092,103300,77597,91389,67901,164427,372274,533245,1358044,273278
"Algeria","Other USAID Assistance",NA,NA,924156,1028849,NA,NA,53795,NA,NA,3465
"Algeria","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Title II",NA,NA,2444716,NA,1069727,NA,NA,NA,6959021,6907849
"Angola","Child Survival and Health",6759568,5379701,9439296,8042743,11737301,7666290,15422009,23516675,3078354,NA
"Angola","Development Assistance",6628132,3569171,7210539,5708374,10957799,6226419,6854193,8141449,7347968,11827695
"Angola","Economic Support Fund/Security Support Assistance",625886,1956611,3838929,4623091,4448962,2764731,6656026,1965596,1929251,1108367
"Angola","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","Global HIV/AIDS Initiative",NA,NA,NA,NA,1120285,502296,1047476,1381783,479593,211362
"Angola","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,28274717,28847531
"Angola","Migration and Refugee Assistance",103947,5625256,1876756,8131135,3905630,3518771,6132653,NA,NA,NA
"Angola","Nonproliferation, Anti-Terrorism, Demining and Related",3875486,3477875,3452751,4713832,6601359,6867298,6584726,5368157,7031362,7355528
"Angola","Other Active Grant Programs",1363642,2534767,1761815,2811979,172351,9472789,3334924,7508437,7165536,1821470
"Angola","Other Food Aid Programs",25063117,13647413,5255610,457407,1271769,330134,3539077,NA,NA,NA
"Angola","Other State Assistance",95460,110059,78198,119338,183451,105150,179158,691691,687565,89173
