"Country.Name","Program.Name","FY2010"
"Afghanistan","Child Survival and Health",NA
"Afghanistan","Department of Defense Security Assistance",316514796
"Afghanistan","Development Assistance",NA
"Afghanistan","Economic Support Fund/Security Support Assistance",2797488331
"Afghanistan","Food For Education",NA
"Afghanistan","Global Health and Child Survival",137642691
"Afghanistan","Inactive Programs",NA
"Afghanistan","Migration and Refugee Assistance",30875007
"Afghanistan","Narcotics Control",860561349
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",69603662
"Afghanistan","Other Active Grant Programs",11553941
"Afghanistan","Other Food Aid Programs",NA
"Afghanistan","Other State Assistance",4180442
"Afghanistan","Other USAID Assistance",237417668
"Afghanistan","Other USDA Assistance",101692000
"Afghanistan","Peace Corps",NA
"Afghanistan","Title I",15284034
"Afghanistan","Title II",63717600
"Albania","Child Survival and Health",NA
"Albania","Department of Defense Security Assistance",NA
"Albania","Development Assistance",15849
"Albania","Economic Support Fund/Security Support Assistance",245880
"Albania","Food For Education",NA
"Albania","Global Health and Child Survival",NA
"Albania","Inactive Programs",NA
"Albania","Migration and Refugee Assistance",NA
"Albania","Millennium Challenge Corporation",NA
"Albania","Narcotics Control",4930872
"Albania","Nonproliferation, Anti-Terrorism, Demining and Related",6416320
"Albania","Other Active Grant Programs",595318
"Albania","Other Food Aid Programs",NA
"Albania","Other State Assistance",690419
"Albania","Other USAID Assistance",20214985
"Albania","Peace Corps",2301100
"Albania","Title I",NA
"Albania","Title II",NA
"Algeria","Department of Defense Security Assistance",NA
"Algeria","Economic Support Fund/Security Support Assistance",NA
"Algeria","Migration and Refugee Assistance",4803120
"Algeria","Narcotics Control",11252
"Algeria","Nonproliferation, Anti-Terrorism, Demining and Related",987588
"Algeria","Other Active Grant Programs",2013002
"Algeria","Other Food Aid Programs",NA
"Algeria","Other State Assistance",175900
"Algeria","Other USAID Assistance",NA
"Algeria","Peace Corps",NA
"Algeria","Title I",NA
"Algeria","Title II",6528900
"Angola","Child Survival and Health",NA
"Angola","Development Assistance",18897460
"Angola","Economic Support Fund/Security Support Assistance",NA
"Angola","Food For Education",3183634
"Angola","Global HIV/AIDS Initiative",370655
"Angola","Global Health and Child Survival",47082498
"Angola","Migration and Refugee Assistance",2300000
"Angola","Nonproliferation, Anti-Terrorism, Demining and Related",9999801
"Angola","Other Active Grant Programs",10160484
"Angola","Other Food Aid Programs",NA
"Angola","Other State Assistance",224069
"Angola","Other USAID Assistance",6867949
"Angola","Title I",NA
"Angola","Title II",NA
"Antigua and Barbuda","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Antigua and Barbuda","Other Active Grant Programs",118288
"Argentina","Department of Defense Security Assistance",106858
"Argentina","Economic Support Fund/Security Support Assistance",NA
"Argentina","Inactive Programs",NA
"Argentina","Migration and Refugee Assistance",NA
"Argentina","Narcotics Control",944735
"Argentina","Nonproliferation, Anti-Terrorism, Demining and Related",718115
"Argentina","Other Active Grant Programs",3614781
"Argentina","Other State Assistance",357615
"Argentina","Other USAID Assistance",NA
"Argentina","Other USDA Assistance",20209
"Argentina","Peace Corps",NA
"Argentina","Title I",NA
"Armenia","Child Survival and Health",NA
"Armenia","Department of Defense Security Assistance",NA
"Armenia","Development Assistance",1197110
"Armenia","Economic Support Fund/Security Support Assistance",NA
"Armenia","Global Health and Child Survival",4e+05
"Armenia","Migration and Refugee Assistance",1399934
"Armenia","Millennium Challenge Corporation",12616473
"Armenia","Narcotics Control",3631543
"Armenia","Nonproliferation, Anti-Terrorism, Demining and Related",1481120
"Armenia","Other Active Grant Programs",2109343
"Armenia","Other Food Aid Programs",NA
"Armenia","Other State Assistance",3913308
"Armenia","Other USAID Assistance",53631393
"Armenia","Other USDA Assistance",5478000
"Armenia","Peace Corps",2483900
"Armenia","Title I",NA
"Armenia","Title II",NA
"Asia (not specified)","Child Survival and Health",NA
"Asia (not specified)","Development Assistance",62751583
"Asia (not specified)","Economic Support Fund/Security Support Assistance",7022905
"Asia (not specified)","Global HIV/AIDS Initiative",10
"Asia (not specified)","Global Health and Child Survival",19060087
"Asia (not specified)","Inactive Programs",NA
"Asia (not specified)","Migration and Refugee Assistance",66250000
"Asia (not specified)","Narcotics Control",NA
"Asia (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",123000
"Asia (not specified)","Other Active Grant Programs",3674115
"Asia (not specified)","Other State Assistance",1827971
"Asia (not specified)","Other USAID Assistance",31335539
"Asia (not specified)","Other USDA Assistance",158973
"Asia (not specified)","Peace Corps",NA
"Asia (not specified)","Title I",NA
"Asia (not specified)","Title II",NA
"Asia (not specified)","Voluntary Contributions to Multilateral Organizations, Total",NA
"Australia","Inactive Programs",NA
"Australia","Other Active Grant Programs",99577
"Australia","Other USDA Assistance",3319
"Austria","Inactive Programs",NA
"Austria","Migration and Refugee Assistance",4096379
"Austria","Other Active Grant Programs",2966674
